yard_id,yard_name,yard_level,yard_type,handling_capacity,sent_demand,received_demand,usage
10023,GATEWAY,1,hump,30000,30000,30000,1
10115,AUBURN,1,hump,30000,30000,30000,1
10133,BILLINGS,1,hump,30000,30000,17738,1
10158,COMMERCE YARD,1,hump,30000,30000,30000,1
10163,DAYTON'S BLUFF YARD,1,hump,30000,30000,30000,1
10223,IRVING,1,hump,100000,94188,100000,1
10323,SOUTH SIOUX CITY,1,hump,30000,30000,30000,1
10328,ST JOSEPH,1,hump,30000,30000,30000,1
10390,22ND ST,1,hump,30000,30000,30000,1
10448,ECANABA YARD,1,hump,30000,30000,30000,1
10539,DEQUEEN,1,hump,30000,30000,30000,1
10546,GALEWOOD,1,hump,30000,30000,30000,1
10650,SOUTH PLAINFIELD,1,hump,30000,30000,30000,1
10704,BOYLES,1,hump,30000,30000,30000,1
11008,RUPERT,1,hump,30000,21447,19124,0.7149
11012,JOHNSON CITY,1,hump,30000,30000,30000,1
11208,BROSNAN,1,hump,30000,30000,30000,1
11420,WATKINS ROAD,1,hump,30000,30000,30000,1
11488,HOQUIAM YARD,1,hump,30000,21227,30000,1
11512,SOUTH WORCESTER,1,hump,100000,100000,100000,1
11646,CUDAHY YARD,1,hump,30000,30000,30000,1
10026,14TH ST,2,major_flat,1500,0,0,0
10032,HARTFORD,2,major_flat,1500,0,0,0
10055,HEALY,2,major_flat,1500,0,0,0
10096,ABILENE (BNSF),2,major_flat,1500,0,0,0
10098,ALBUQUERQUE-ABAJO,2,major_flat,1500,0,0,0
10101,AMARILLO,2,major_flat,20000,0,0,0
10109,ARGO,2,major_flat,20000,0,0,0
10116,AUBURN YARD,2,major_flat,1500,0,0,0
10125,BAY,2,major_flat,1500,0,0,0
10126,BAYSIDE,2,major_flat,20000,0,0,0
10127,BAYSIDE YARD,2,major_flat,20000,0,0,0
10129,BEAUMONT,2,major_flat,1500,0,0,0
10130,BELEN,2,major_flat,20000,0,0,0
10131,BELLINGHAM,2,major_flat,20000,0,0,0
10139,BUENA VISTA,2,major_flat,20000,0,0,0
10148,CHEYENNE (BNSF),2,major_flat,20000,0,0,0
10155,COACH,2,major_flat,20000,0,0,0
10171,DU POINT YARD,2,major_flat,20000,0,0,0
10181,ELLIOT YARD,2,major_flat,1500,0,0,0
10186,ESSEX,2,major_flat,20000,0,0,0
10195,FT SCOTT,2,major_flat,20000,0,0,0
10205,GILLETTE,2,major_flat,1500,0,0,0
10224,JAMESTOWN,2,major_flat,20000,0,0,0
10238,LETOURNEAU NORTH,2,major_flat,20000,0,0,0
10242,LOGISTICS PARK CHICAGO,2,major_flat,20000,0,0,0
10247,LOWER LUBBOCK,2,major_flat,20000,0,0,0
10248,LUBBOCK,2,major_flat,1500,0,0,0
10259,MEMPHIS INTERMODAL,2,major_flat,20000,0,0,0
10263,MILES CITY,2,major_flat,20000,0,0,0
10264,MINOT,2,major_flat,20000,0,0,0
10278,NORTH ST LOUIS,2,major_flat,20000,0,0,0
10279,NORTH WICHITA,2,major_flat,20000,0,0,0
10285,ORE DOCK YARD,2,major_flat,1500,0,0,0
10288,PICO RIVERA YARD,2,major_flat,20000,0,0,0
10296,RENTON,2,major_flat,1500,0,0,0
10299,RIVERBANK YARD,2,major_flat,20000,0,0,0
10304,SAGINAW,2,major_flat,20000,0,0,0
10308,SEATTLE INTMDL GATE,2,major_flat,20000,0,0,0
10309,SEATTLE TERMINAL #5,2,major_flat,1500,0,0,0
10318,SOMERVILLE,2,major_flat,1500,0,0,0
10324,SOUTH TOPEKA,2,major_flat,20000,0,0,0
10333,STREATOR,2,major_flat,1500,0,0,0
10345,VAN ASSELT,2,major_flat,20000,0,0,0
10347,VANCOUVER TERM #2,2,major_flat,20000,0,0,0
10353,WENATCHEE YARD,2,major_flat,20000,0,0,0
10354,WEST BURLINGTON,2,major_flat,20000,0,0,0
10378,BUTLER,2,major_flat,20000,0,0,0
10380,EAST BUTLER,2,major_flat,1500,0,0,0
10394,STEARNS,2,major_flat,20000,0,0,0
10398,VON WILLER,2,major_flat,20000,0,0,0
10402,CRESTLINE,2,major_flat,20000,0,0,0
10415,CEDAR SPRINGS,2,major_flat,20000,0,0,0
10417,MOREHEAD CITY,2,major_flat,20000,0,0,0
10426,BOC,2,major_flat,20000,0,0,0
10488,POKEGAMA YARD,2,major_flat,20000,0,0,0
10527,AUSTIN,2,major_flat,20000,0,0,0
10534,CHAISSON,2,major_flat,20000,0,0,0
10553,HUMBOLDT YARD,2,major_flat,20000,0,0,0
10573,NAHANT,2,major_flat,20000,0,0,0
10583,PORTAL,2,major_flat,20000,0,0,0
10623,HUBER,2,major_flat,20000,0,0,0
10637,MOUND ROAD,2,major_flat,20000,0,0,0
10640,PAVONIA,2,major_flat,20000,0,0,0
10641,POINIER STREET,2,major_flat,20000,0,0,0
10652,STERLING AUTOLOAD,2,major_flat,20000,0,0,0
10707,BREWER,2,major_flat,20000,0,0,0
10708,BRISTOW,2,major_flat,20000,0,0,0
10768,ENSEL,2,major_flat,20000,0,0,0
10775,FEDERAL,2,major_flat,20000,0,0,0
10778,FLORENCE,2,major_flat,20000,0,0,0
10784,FORT DEVENS,2,major_flat,20000,0,0,0
10785,FR,2,major_flat,20000,0,0,0
